Room,Day,Hour,Building,Floor,Status
C-1,Mon,8,C-Block (Computing),1,1
C-13,Mon,8,C-Block (Computing),2,1
C-14,Mon,8,C-Block (Computing),2,1
C-2,Mon,8,C-Block (Computing),1,0
C-3,Mon,8,C-Block (Computing),1,1
C-4,Mon,8,C-Block (Computing),1,1
C-5,Mon,8,C-Block (Computing),1,1
C-6,Mon,8,C-Block (Computing),1,0
C-7,Mon,8,C-Block (Computing),1,0
D-11,Mon,8,D-Block (Electrical/Management),2,0
D-2,Mon,8,D-Block (Electrical/Management),1,0
D-5,Mon,8,D-Block (Electrical/Management),1,0
Embedded Lab,Mon,8,E-Block (Library),1,0
Eng Lab-1,Mon,8,E-Block (Library),1,0
Eng Lab-2,Mon,8,E-Block (Library),1,0
Eng Lab-3,Mon,8,E-Block (Library),1,0
Eng Lab-4,Mon,8,E-Block (Library),1,0
Eng Lab-5,Mon,8,E-Block (Library),1,0
Eng Lab-6,Mon,8,E-Block (Library),1,0
F-201,Mon,8,F-Block (New Building),2,1
F-202,Mon,8,F-Block (New Building),2,1
F-203,Mon,8,F-Block (New Building),2,1
F-204,Mon,8,F-Block (New Building),2,1
F-205,Mon,8,F-Block (New Building),2,1
F-206,Mon,8,F-Block (New Building),2,1
F-207,Mon,8,F-Block (New Building),2,1
F-208,Mon,8,F-Block (New Building),2,0
F-209,Mon,8,F-Block (New Building),2,1
F-210,Mon,8,F-Block (New Building),2,1
F-301,Mon,8,F-Block (New Building),3,1
F-302,Mon,8,F-Block (New Building),3,0
F-303,Mon,8,F-Block (New Building),3,0
F-304,Mon,8,F-Block (New Building),3,0
F-305,Mon,8,F-Block (New Building),3,0
F-306,Mon,8,F-Block (New Building),3,0
F-307,Mon,8,F-Block (New Building),3,1
F-308,Mon,8,F-Block (New Building),3,0
F-309,Mon,8,F-Block (New Building),3,0
F-310,Mon,8,F-Block (New Building),3,0
F-311,Mon,8,F-Block (New Building),3,0
F-312,Mon,8,F-Block (New Building),3,0
Lab-1,Mon,8,L-Block (Labs),1,0
Lab-13,Mon,8,L-Block (Labs),2,1
Lab-14,Mon,8,L-Block (Labs),2,1
Lab-15,Mon,8,L-Block (Labs),2,1
Lab-16,Mon,8,L-Block (Labs),2,1
Lab-17,Mon,8,L-Block (Labs),2,0
Lab-18,Mon,8,L-Block (Labs),2,0
Lab-2,Mon,8,L-Block (Labs),1,0
Lab-3,Mon,8,L-Block (Labs),1,0
Lab-4,Mon,8,L-Block (Labs),1,0
Lab-6,Mon,8,L-Block (Labs),1,0
Lab-8,Mon,8,L-Block (Labs),1,0
Micro Lab,Mon,8,D-Block (Electrical/Management),1,0
Physics Lab,Mon,8,D-Block (Electrical/Management),1,0
S. Hall,Mon,8,D-Block (Electrical/Management),1,0
lab-17,Mon,8,L-Block (Labs),2,0
C-1,Mon,9,C-Block (Computing),1,0
C-13,Mon,9,C-Block (Computing),2,0
C-14,Mon,9,C-Block (Computing),2,0
C-2,Mon,9,C-Block (Computing),1,0
C-3,Mon,9,C-Block (Computing),1,0
C-4,Mon,9,C-Block (Computing),1,0
C-5,Mon,9,C-Block (Computing),1,0
C-6,Mon,9,C-Block (Computing),1,0
C-7,Mon,9,C-Block (Computing),1,0
D-11,Mon,9,D-Block (Electrical/Management),2,0
D-2,Mon,9,D-Block (Electrical/Management),1,0
D-5,Mon,9,D-Block (Electrical/Management),1,0
Embedded Lab,Mon,9,E-Block (Library),1,0
Eng Lab-1,Mon,9,E-Block (Library),1,0
Eng Lab-2,Mon,9,E-Block (Library),1,0
Eng Lab-3,Mon,9,E-Block (Library),1,0
Eng Lab-4,Mon,9,E-Block (Library),1,0
Eng Lab-5,Mon,9,E-Block (Library),1,0
Eng Lab-6,Mon,9,E-Block (Library),1,0
F-201,Mon,9,F-Block (New Building),2,0
F-202,Mon,9,F-Block (New Building),2,0
F-203,Mon,9,F-Block (New Building),2,0
F-204,Mon,9,F-Block (New Building),2,0
F-205,Mon,9,F-Block (New Building),2,0
F-206,Mon,9,F-Block (New Building),2,0
F-207,Mon,9,F-Block (New Building),2,0
F-208,Mon,9,F-Block (New Building),2,0
F-209,Mon,9,F-Block (New Building),2,0
F-210,Mon,9,F-Block (New Building),2,0
F-301,Mon,9,F-Block (New Building),3,0
F-302,Mon,9,F-Block (New Building),3,0
F-303,Mon,9,F-Block (New Building),3,0
F-304,Mon,9,F-Block (New Building),3,0
F-305,Mon,9,F-Block (New Building),3,0
F-306,Mon,9,F-Block (New Building),3,0
F-307,Mon,9,F-Block (New Building),3,0
F-308,Mon,9,F-Block (New Building),3,0
F-309,Mon,9,F-Block (New Building),3,0
F-310,Mon,9,F-Block (New Building),3,0
F-311,Mon,9,F-Block (New Building),3,0
F-312,Mon,9,F-Block (New Building),3,0
Lab-1,Mon,9,L-Block (Labs),1,0
Lab-13,Mon,9,L-Block (Labs),2,0
Lab-14,Mon,9,L-Block (Labs),2,0
Lab-15,Mon,9,L-Block (Labs),2,0
