Room,Mon_08:00,Mon_09:00,Mon_10:00,Mon_11:00,Mon_12:00,Mon_13:00,Mon_14:00,Mon_15:00,Mon_16:00,Mon_17:00,Mon_18:00,Mon_19:00,Mon_20:00,Tue_08:00,Tue_09:00,Tue_10:00,Tue_11:00,Tue_12:00,Tue_13:00,Tue_14:00,Tue_15:00,Tue_16:00,Tue_17:00,Tue_18:00,Tue_19:00,Tue_20:00,Wed_08:00,Wed_09:00,Wed_10:00,Wed_11:00,Wed_12:00,Wed_13:00,Wed_14:00,Wed_15:00,Wed_16:00,Wed_17:00,Wed_18:00,Wed_19:00,Wed_20:00,Thu_08:00,Thu_09:00,Thu_10:00,Thu_11:00,Thu_12:00,Thu_13:00,Thu_14:00,Thu_15:00,Thu_16:00,Thu_17:00,Thu_18:00,Thu_19:00,Thu_20:00,Fri_08:00,Fri_09:00,Fri_10:00,Fri_11:00,Fri_12:00,Fri_13:00,Fri_14:00,Fri_15:00,Fri_16:00,Fri_17:00,Fri_18:00,Fri_19:00,Fri_20:00,Sat_08:00,Sat_09:00,Sat_10:00,Sat_11:00,Sat_12:00,Sat_13:00,Sat_14:00,Sat_15:00,Sat_16:00,Sat_17:00,Sat_18:00,Sat_19:00,Sat_20:00
A-4,,,English - II (BSBA-2F1) Dr. Zahida Mansoor,English - II (BBA-2A1) Dr. Zahida Mansoor,,Environmental Science and Sustainability for Business (BFT-4A) Dr. Saman Shahid,,,,,,,,Business Communication (BSBA-6A) Moatter Arif,,Environmental Science and Sustainability for Business (BFT-4C) Dr. Saman Shahid,Financial Accounting (BFT-2A) Azam Saleem,,Financial Accounting (BFT-2B) Azam Saleem,,,,,,,,Data Analysis for Business - I (BBA-2D) Anum Mehmood,,English - II (BSBA-2F1) Dr. Zahida Mansoor,English - II (BBA-2A1) Dr. Zahida Mansoor,,Environmental Science and Sustainability for Business (BFT-4A) Dr. Saman Shahid,,,,,,,,Business Communication (BSBA-6A) Moatter Arif,,Environmental Science and Sustainability for Business (BFT-4C) Dr. Saman Shahid,Financial Accounting (BFT-2A) Azam Saleem,,Financial Accounting (BFT-2B) Azam Saleem,,,,,,,,Business Ethics (BAF-8A) Dr. Saif Maqbool,,Business Ethics (BAF-8B) Dr. Saif Maqbool,,,,,,,,,,,,,,,,,,,,,,,
A-7,Data Analysis for Business - I (BBA-2D) Anum Mehmood,,Data Analysis for Business - I (BFT-2B) Anum Mehmood,English - II (BBA-2C1) Dr. Kalsoom Jahan,,Fundamentals of Business Analytics (BSBA-4B) Aiza Aftab,Business Law (BBA-6A) Syed Ali Hassnain Naqvi,,Business Law (BBA-6B) Syed Ali Hassnain Naqvi,,,,,IT in Business (BBA-2B) Umer Qadir [8:30 to 10:30],,,,,Environmental Science and Sustainability for Business (BFT-4E) Shahpara Hanif,Environmental Science and Sustainability for Business (BFT-4D) Shahpara Hanif,,,,,,,Financial Accounting (BFT-2D) Faiqa Waqar,,Corporate Accounting-II (BAF-4A) Faiqa Waqar,Methods in Business Research (BBA-6A) Dr. Zia Khan,,,,,,,,,,Financial Risk Management (BAF-8B) Agha Mureed Ahmed,,Financial Risk Management (BAF-8A) Agha Mureed Ahmed,Introduction to Database Systems (BFT-4C) Nida Aslam,,Environmental Science and Sustainability for Business (BFT-4E) Shahpara Hanif,Environmental Science and Sustainability for Business (BFT-4D) Shahpara Hanif,,Financial Accounting (BFT-2C) Farwa Zahra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-1,EE1005,,MT1008,CS4038,,,,SS1015,,,,,,SS2036,,CS3014,MT1008,,MT1008,SS2036,,,,,,,,,MT1008,CS4038,,Financial Accounting (BAF-2B) Amir Gill,Business Math - II (BAF-4A) Dr. Qasim Noor,,Business Math - II (BAF-4B) Dr. Qasim Noor,,,,,SS2036,,CS3014,MT1008,,MT1008,SS2036,,,,,,,EE1005,,SS2043,,,,SS2043,,,,,,,,,,,,,,,,,,,
C-10,Financial Institutions and Markets (BFT-6A) Sidra Salman,,Financial Institutions and Markets (BFT-6B) Sidra Salman,Marketing Management (BSBA-2B) Dr. Munazza Saeed,,,,,Business Math - II (BAF-4B) Dr. Qasim Noor,,Finance for Managers (MB2-2A) Shakeel Ahmad,,,Business Finance (BBA-4B) Sidra Salman,,Taxation (BAF-8B) Aamer Allauddin,English - II (BSBA-2A1) Zainab Mubarak,,Taxation (BAF-8A) Aamer Allauddin,Fundamentals of Business Analytics (BSBA-4D) Dr. Hakeem ur Rehman,,Business Analytics (BAF-6A) Dr. Hakeem ur Rehman,,Decision Science for Business (MSBA-2A) Zeeshan Riaz,,,Business Finance (BSBA-4B) Noor Zahid,,Corporate Accounting-II (BAF-4B) Aamer Allauddin,Marketing Management (BSBA-2B) Dr. Munazza Saeed,,Marketing Management (BSBA-2C) Faisal Saleh,Business Research & Data Mining (BFT-6A) Dr. Sabeeh Iqbal,,Business Research & Data Mining (BFT-6B) Dr. Sabeeh Iqbal,,Decision Science for Business (MSBA-2B) Zeeshan Riaz,,,Business Finance (BBA-4B) Sidra Salman,,Taxation (BAF-8B) Aamer Allauddin,English - II (BSBA-2B1) Halima Altaf,,Taxation (BAF-8A) Aamer Allauddin,Fundamentals of Business Analytics (BSBA-4D) Dr. Hakeem ur Rehman,,Business Analytics (BAF-6A) Dr. Hakeem ur Rehman,,Managerial Economics (MB2-2A) Dr. Mujahid Hussain,,,,,Corporate Accounting-II (BAF-4B) Aamer Allauddin,,,,,,,,Quantitative Methods (MB2-2A) Dr Syed Tauseef Saeed,,,,,,,,,,,,,,,
C-11,,,English - II (BSBA-2E1) Dr. Saadia Rasheed,English - II (BSBA-2D1) Uzma Safdar,,English - II (BFT-2D1) Uzma Safdar,Data Analysis for Business - I (BAF-2E) Zoya Faisal,,Data Analysis for Business - I (BAF-2D) Zoya Faisal,,,,,Accounting for Decision Making (BAF-6A) Saleena Gul,,English - II (BAF-2C1) Rafia Dastagir,English - II (BSBA-2B2) Rafia Dastgir,,Business Communication (BBA-4B) Dr. Bushra Usman,Marketing Management (BBA-2C) Misal Hasan,,Financial Accounting (BBA-2C) Farwa Zahra,,Managing Human Resources (MB2-2A) Mohsin Nishat,,,,,English - II (BSBA-2E1) Dr. Saadia Rasheed,English - II (BSBA-2D1) Uzma Safdar,,English - II (BFT-2D1) Uzma Safdar,Data Analysis for Business - II (BFT-4C) Dr Yasir Rafique,,Data Analysis for Business - II (BFT-4D) Dr Yasir Rafique,,Data Driven Decision Making and Optimization (MSBA-4B) Abdul Hannan,,,Accounting for Decision Making (BAF-6A) Saleena Gul,,English - II (BAF-2C1) Rafia Dastagir,English - II (BSBA-2B2) Rafia Dastgir,,Business Communication (BBA-4B) Dr. Bushra Usman,Programming for Business (BFT-2B) Nida Aslam,,Programming for Business (BFT-2A) Nida Aslam,,Advanced Research Methods (MSBA-2A) Dr. Akbar Azam,,,,,Business Ethics (BBA-8B) Dr. Fatima Omer,Business Ethics (BBA-8A) Dr. Fatima Omer,,,,,,,Advanced Research Methods (MSBA-2B) Dr. Akbar Azam,,,,,,,,,,,,,,,
C-12,Business Communication (BBA-4A) Dr. Bushra Usman,,English - II (BSBA-2E2) Dr. Kalsoom Jahan,English - II (BSBA-2D2) Ayesha Imtiaz,,Pakistan Studies (BBA-2B) [1:00 to 3:00] Ayesha Nadeem,,,,,,,,Business Ethics (BBA-8C) Dr. Fatima Omer,,English - II (BAF-2D2) Namra Fazal,English - II (BAF-2B1) Namra Fazal,,English - II (BAF-2E1) Aqsa Naz,Empowering Organization with Analytics and Data Visualization (BAF-6A) Bilal Qaisar,,Introduction to Database Systems (BFT-4E) Aqib Zeeshan,,Data Driven Decision Making and Optimization (MSBA-4A) Abdul Hannan,,,Business Communication (BBA-4A) Dr. Bushra Usman,,English - II (BSBA-2E2) Dr. Kalsoom Jahan,English - II (BSBA-2D2) Ayesha Imtiaz,,Methods in Business Research (BAF-6A) Dr. Usama Najam,Financial Reporting and Analysis (MB-2A) Shakeel Ahmad,,,,Cases in Management (MB-2N) Dr. Hamid Hassan,,,Business Ethics (BBA-8C) Dr. Fatima Omer,,English - II (BAF-2D2) Namra Fazal,English - II (BAF-2B1) Namra Fazal,,English - II (BAF-2E1) Aqsa Naz,Empowering Organization with Analytics and Data Visualization (BAF-6A) Bilal Qaisar,,Financial Accounting (BSBA-2D) Rashid Minhas,,Machine Learning Models for Business Analytics (MSBA-2B) Zummar Saad,,,,,Islamic Studies/Ethics & Understanding Sirat-un-Nabi (PBUH) (BAF-2A) [10:00 to 11:50 & 12:00 to 12:50] Dr. Neelam Bano,,,,Islamic Studies/Ethics & Understanding Sirat-un-Nabi (PBUH) (BAF-2C) [2:30 to 4:20 & 4:30 to 5:20] Sajjad Bashir,,,,Machine Learning Models for Business Analytics (MSBA-2A) Zummar Saad,,,,,,,,,,,,,,,
C-13,SS1015,,,,,SS1015,,,,,,,,,,CS4115,SE4001,,,MT1008,,SS2043,,,,,SS1007,,SS1019,,,CS4059,,,,,,,,SS1015,,,English - II (BSBA-2A1) Zainab Mubarak,,Macroeconomics (BBA-4A) Dr. Wasif Zafar,MT1008,,SS2043,,,,,,,Islamic Studies/Ethics & Understanding Sirat-un-Nabi (PBUH) (BAF-2B) [10:00 to 11:50 & 12:00 to 12:50] Sajjad Bashir,,,,Islamic Studies/Ethics & Understanding Sirat-un-Nabi (PBUH) (BAF-2D) [2:30 to 4:20 & 4:30 to 5:20] Fawad,,,,,,,,,,,,,,,,,,,
C-14,Business Math - II (BSBA-4D) Muhammad Saleem Chishti,,Business Math - II (BSBA-4C) Muhammad Saleem Chishti,CS4032,,Financial Accounting (BAF-2A) Amir Gill,Financial Institutions and Markets (BBA-6B) Dr. Wasif Zafar,,Methods in Business Research (BBA-6A) Dr. Zia Khan,,,,,,,CS3009,SS1007,,SS1019,,,,,,,,,,,CS4032,,Business Finance (BSBA-4A) Noor Zahid,Financial Institutions and Markets (BBA-6B) Dr. Wasif Zafar,,Financial Institutions and Markets (BBA-6A) Dr. Wasif Zafar,,,,,Macroeconomics (BSBA-4C) Sadia Bilal,,CS3009,Business Finance (BAF-4A) Mobeen Ajmal,,Business Finance (BAF-4B) Mobeen Ajmal,Business Finance (BFT-4E) Khalil ur Rahman,,Fundamentals of Business Analytics (BSBA-4C) Aiza Aftab,,,,,Business Communication (BSBA-6B) Moatter Arif,,Islamic Studies/Ethics & Understanding Sirat-un-Nabi (PBUH) (BSBA-2C) [10:00 to 11:50 & 12:00 to 12:50] Aneeqa,,,,Islamic Studies/Ethics & Understanding Sirat-un-Nabi (PBUH) (BAF-2E) [2:30 to 4:20 & 4:30 to 5:20] Naseer,,,,,,,,,,,,,,,,,,,
C-15,English - II (BBA-2B1) Zakia Naeem,,English - II (BAF-2A1) Hajra Ikram,English - II (BSBA-2C1) Mahnoor Chaudhry,,Business Finance (BSBA-4C) Noor Zahid,Methods in Business Research (BAF-6A) Dr. Usama Najam,,,,,,,Fundamentals of Management (BFT-2A) Dr. Saif Maqbool,,English - II (BAF-2C2) Areeba Nadeem,English - II (BAF-2B2) Rubab Arshad,,English - II (BAF-2E2) Zainab Mubarak,Fundamentals of Management (BAF-2B) Arooj Alvi,,Fundamentals of Management (BAF-2A) Arooj Alvi,,,,,English - II (BBA-2B1) Zakia Naeem,,English - II (BAF-2A1) Hajra Ikram,English - II (BSBA-2C1) Mahnoor Chaudhry,,,Business Law (BFT-6B) Dr. Abdul Aziz Khan Niazi,,Business Law (BFT-6A) Dr. Abdul Aziz Khan Niazi,,,,,,,English - II (BAF-2C2) Areeba Nadeem,English - II (BAF-2B2) Rubab Arshad,,English - II (BAF-2E2) Zainab Mubarak,Fundamentals of Management (BAF-2B) Arooj Alvi,,Fundamentals of Management (BAF-2A) Arooj Alvi,,,,,,,Islamic Studies/Ethics & Understanding Sirat-un-Nabi (PBUH) (BSBA-2D) [10:00 to 11:50 & 12:00 to 12:50] Abdul Khaliq,,,,Islamic Studies/Ethics & Understanding Sirat-un-Nabi (PBUH) (BSBA-2A) [2:30 to 4:20 & 4:30 to 5:20] Dr. Neelam Bano,,,,,,,,,,,,,,,,,,,
C-16,English - II (BBA-2B2) Namra Fazal,,English - II (BAF-2A2) Razm ul Zafar,English - II (BSBA-2C2) Dr. Iram Amjad,,Data Analysis for Business - I (BFT-2C) Aroosa Safdar,Data Analysis for Business - I (BFT-2D) Aroosa Safdar,,,,,,,,,English - II (BFT-2A1) Ayesha Imtiaz,English - II (BSBA-2B1) Halima Altaf,,Data Analysis for Business - I (BFT-2A) Aroosa Safdar,Programming for Business (BFT-2B) Nida Aslam,,Programming for Business (BFT-2A) Nida Aslam,,,,,English - II (BBA-2B2) Namra Fazal,,English - II (BAF-2A2) Razm ul Zafar,English - II (BSBA-2C2) Dr. Iram Amjad,,Data Analysis for Business - I (BFT-2C) Aroosa Safdar,Data Analysis for Business - I (BFT-2D) Aroosa Safdar,,Machine Learning for Business Analytics (BSBA-6A) Dr. Hakeem ur Rehman,,,,,,,Methods in Business Research (BBA-6B) Dr. Syed Nauman Ahmad,Financial Accounting  (BAF-2E) Ghualm Fatima,,Data Analysis for Business - I (BFT-2A) Aroosa Safdar,Business Data and Text Mining (BSBA-8B) Asif Ahsan,,Business Data and Text Mining (BSBA-8A) Asif Ahsan,,,,,Islamic Studies/Ethics & Understanding Sirat-un-Nabi (PBUH) (BSBA-2E) [8:30 to 10:30 & 10:30 to 11:30] Hamza Janjua,,,,,,Islamic Studies/Ethics & Understanding Sirat-un-Nabi (PBUH) (BSBA-2B) [2:30 to 4:20 & 4:30 to 5:20] Aneeqa,,,,,,,,,,,,,,,,,,,
