room,building,block,day_of_week,hour,hour_sin,hour_cos,floor,is_lab,is_special,room_overall_occupancy_rate,block_hour_occupancy_rate,neighbor_hour_occupancy_rate,is_weekday,room_popularity_bucket,scheduled_class,prev_hour_occupied,next_hour_occupied,usable,block_A,block_B,block_C,block_D,block_E,block_F,block_L
A-4,A-Block (Admin),A,0,8,0.866025,-0.5,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0
A-4,A-Block (Admin),A,0,9,0.707107,-0.707107,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0
A-4,A-Block (Admin),A,0,10,0.5,-0.866025,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0
A-4,A-Block (Admin),A,0,11,0.258819,-0.965926,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0
A-4,A-Block (Admin),A,0,12,0.0,-1.0,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0
A-4,A-Block (Admin),A,0,13,-0.258819,-0.965926,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0
A-4,A-Block (Admin),A,0,14,-0.5,-0.866025,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0
A-4,A-Block (Admin),A,0,15,-0.707107,-0.707107,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0
A-4,A-Block (Admin),A,0,16,-0.866025,-0.5,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0
A-4,A-Block (Admin),A,0,17,-0.965926,-0.258819,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0
A-4,A-Block (Admin),A,0,18,-1.0,-0.0,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0
A-4,A-Block (Admin),A,0,19,-0.965926,0.258819,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0
